name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
eawin,8514.033633328065,7567.347805217054,9721.867266001094,272.22770930690155,2.1655903125949267
1193/2441/raid-mythic/186439/6208/back,8587.132095190631,7543.739962203316,9782.877578273363,268.78966020370297,2.184199270868267
1193/2440/raid-mythic/186437/0/trinket1,8603.230145864945,7643.714402937724,9836.966394871557,269.4443679231872,2.188941370139092
1193/2441/raid-mythic/186377/6164/finger2,7786.969724797293,7174.0267190924915,8545.973415495293,275.7620750605194,33.68969948468539
1193/2439/raid-mythic/186339/0/wrist,8538.382837071054,7653.555128331675,9750.211958892853,271.0723773096203,2.171081546706265
1193/2441/raid-mythic/186414/6228/main_hand,9249.512468667897,8175.0950877125415,10461.695893819036,292.6882784883722,2.352447023907202
1193/2447/raid-mythic/186376/6164/finger2,7804.37338551291,7266.494410070187,8467.502161742379,271.15309301211164,33.37663850251851
1193/2442/raid-mythic/186306/6211/feet,8562.120722993306,7535.774657825152,9708.897739764661,275.70948830507723,2.1798792621702763
1193/-16/raid-mythic/186367/0/legs,8495.496897170091,7451.168722514004,9727.81837862201,275.8880753916197,2.1614526637050178
1193/2447/raid-mythic/186340/6214/chest,8572.744968733354,7579.922654296559,9675.042540050681,273.178251652805,2.1822857810393588
1193/2435/raid-mythic/186302/0/wrist,8514.838749714592,7557.03662018583,9760.413470646121,270.87617794512516,2.1632745093913246
1193/-16/raid-mythic/186364/0/waist,7651.109787001278,7143.203201631548,8141.6895249571635,227.0224989874091,27.944537886214242
1193/2445/raid-mythic/186343/6211/feet,8557.182136492598,7417.715820667852,9810.21458131808,275.06998705869927,2.176456348069313
1193/2443/raid-mythic/186341/0/head,8572.056116531136,7503.8886879734555,9673.623837082443,272.1496950174574,2.179710034118516
1193/2441/raid-mythic/186342/0/shoulder,8620.394076136909,7496.4406179191565,9798.65168770169,273.55789110917925,2.1860161603097716
1193/2440/raid-mythic/186437/0/trinket2,8568.762234311296,7644.955877557989,9642.738412345347,273.05061299220216,2.1772405067599405
1193/2446/raid-mythic/186344/0/legs,8497.342752696184,7471.167573946512,9605.225618098062,274.0930388066384,2.1603570464903807
1193/2439/raid-mythic/186290/6164/finger2,7836.127774986449,7232.34523794647,8507.756539882232,270.9331697358048,33.34956781853684
1193/2435/raid-mythic/186291/0/neck,8581.717347185351,7591.849577095989,9897.440453395835,279.4809290680969,2.1799217307907424
1193/2446/raid-mythic/186432/0/trinket2,8615.147002235612,7581.83828629207,9921.245991405329,275.41760581115915,2.1919373643177886
1193/2444/raid-mythic/186304/0/head,8572.833790601617,7488.231648080119,9628.689338790997,274.31019216097116,2.182847404538697
1193/2435/raid-mythic/186303/6214/chest,8567.889047697588,7598.5220897568,9645.97634440159,275.75885362055146,2.1808149400216994
1193/2441/raid-mythic/186377/6164/finger1,8510.356913477875,7515.7381139641275,9676.687454315208,268.29878284330863,2.1652494369206026
1193/2445/raid-mythic/186305/0/shoulder,8570.416710975484,7548.946103126438,9596.350004363134,268.7127839155997,2.172840188947489
1193/2447/raid-mythic/186345/0/hands,8573.524775111873,7502.980307686558,9763.600156639337,273.99630760804445,2.1767687469411663
1193/2442/raid-mythic/186301/0/waist,8521.80313469344,7568.046947355549,9651.146910912803,272.2321808342655,2.166791729106728
1193/2439/raid-mythic/186290/6164/finger1,8494.352413810584,7501.235389625925,9734.695843156966,272.22291316387975,2.161725126134882
1193/2443/raid-mythic/186375/6164/finger2,7819.481317860282,7061.887760842898,8401.439072407646,274.6715388846357,33.55646928602723
1193/2447/raid-mythic/186376/6164/finger1,8511.821286043987,7548.37286957214,9695.641940947728,277.65310494443827,2.1661921100566386
1193/2444/raid-mythic/186378/0/neck,8489.191955188782,7568.711409680565,9496.685240011517,266.7228020852472,2.148058597185891
1193/2444/raid-mythic/186308/0/hands,8586.666719242348,7446.400705403056,9776.546012796493,274.50665063966954,2.185448908855993
1193/2442/raid-mythic/186423/0/trinket1,8566.29842565789,7643.115156337806,9782.908384966064,270.0834473086741,2.179865170769629
1193/2445/raid-mythic/186429/0/trinket1,8536.354076583262,7525.259753649541,9758.8294614256,291.1832969085776,2.1714985239268625
1193/2445/raid-mythic/186429/0/trinket2,8465.560712186878,7602.302018298395,9517.047448997326,285.232514373974,8.000668110186933
1193/2443/raid-mythic/186375/6164/finger1,8483.417557257686,7617.679503104221,9261.54904166616,264.2143056248762,8.260731596364245
1193/2443/raid-mythic/186430/0/trinket1,8577.699090280385,7590.465607084966,9616.29253042377,272.4438013348298,2.1810864364013733
1193/2443/raid-mythic/186430/0/trinket2,8512.833602321498,7544.2586524149465,9589.53658692322,267.39753159657823,2.1639742884179833
1193/2440/raid-mythic/186338/0/waist,8566.15499316258,7574.883938140744,9687.898946971383,271.6834173643099,2.178982787763649
1193/2445/raid-mythic/186411/6228/main_hand,8903.786496211636,7828.0893852421605,10341.642613788526,291.5692039637493,2.2664317843773545
1193/2440/raid-mythic/186379/0/neck,8556.334466882927,7531.7259528817085,9604.666606713063,270.38462367196655,2.1725526022977797
1193/2440/raid-mythic/186365/0/wrist,8552.115508072942,7417.872860641245,9673.523085812169,272.69516722598314,2.1742680294710897
1193/2445/raid-mythic/186289/6208/back,8536.301794154442,7562.821961462652,9860.448319691079,272.51717833866485,2.169128834173762
1193/2446/raid-mythic/186374/6208/back,8542.036064958867,7590.8339867640225,9697.02655189433,272.8626900866748,2.176157179829338
1193/2446/raid-mythic/186413/6228/main_hand,8886.287289546523,7808.82850601202,10151.108196382722,284.86043356145586,2.262579239862419